	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
161	480.28	7.3033e-007	91.729	
162	480.38	7.2885e-007	90.564	
163	480.52	7.2604e-007	88.812	
164	480.75	7.2056e-007	86.185	
165	481.08	7.0964e-007	82.283	
166	481.59	6.8787e-007	76.602	
167	482.36	6.4621e-007	68.665	
168	483.52	5.7428e-007	58.42	
169	485.26	4.7037e-007	46.771	
170	487.9	3.5106e-007	35.488	
171	491.88	2.4111e-007	26.123	
172	496.34	1.7159e-007	20.542	
173	500.31	1.3319e-007	17.583	
174	504.39	1.0599e-007	15.579	
175	507.13	9.2141e-008	14.613	
176	508.97	8.4303e-008	14.092	
177	510.19	7.9594e-008	13.791	
178	511.	7.6662e-008	13.61	
179	511.54	7.4796e-008	13.497	
180	511.9	7.3592e-008	13.426	
181	512.14	7.2807e-008	13.38	
182	512.29	7.2294e-008	13.35	
183	512.4	7.1956e-008	13.33	
184	512.6	7.1298e-008	13.292	
185	512.81	7.0649e-008	13.255	
186	512.91	7.0321e-008	13.236	
187	513.07	6.983e-008	13.209	
188	513.31	6.9097e-008	13.168	
189	513.67	6.801e-008	13.108	
190	514.21	6.6411e-008	13.022	
191	515.03	6.4089e-008	12.901	
192	516.26	6.0777e-008	12.739	
193	518.13	5.6175e-008	12.539	
194	520.95	5.0001e-008	12.329	
195	525.2	4.2094e-008	12.208	
196	531.62	3.2524e-008	12.466	
197	535.62	2.7602e-008	12.926	
198	538.66	2.4278e-008	13.462	
199	545.25	1.8034e-008	15.381	
200	549.7	1.4397e-008	17.584	
201	552.68	1.217e-008	19.742	
202	554.68	1.077e-008	21.642	
203	556.01	9.8746e-009	23.183	
204	556.9	9.2959e-009	24.362	
205	557.49	8.9191e-009	25.223	
206	557.88	8.6724e-009	25.834	
207	558.14	8.5102e-009	26.257	
208	558.31	8.4034e-009	26.546	
209	558.42	8.3329e-009	26.742	
210	558.64	8.1952e-009	27.135	
211	558.87	8.0583e-009	27.541	
212	558.98	7.9889e-009	27.753	
213	559.15	7.8846e-009	28.08	
214	559.41	7.7283e-009	28.588	
215	559.8	7.4949e-009	29.394	
216	560.4	7.1484e-009	30.704	
217	561.29	6.6396e-009	32.922	
218	562.64	5.9077e-009	36.939	
219	564.67	4.9044e-009	45.052	
220	567.74	3.7412e-009	64.272	
221	572.37	3.4214e-009	107.85	
222	579.37	5.8442e-009	147.25	
223	589.92	1.1041e-008	163.31	
224	597.37	1.4957e-008	167.32	
225	600.	1.6382e-008	168.23	
