	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
194	520.95	1.2535	7.054	
195	525.2	1.1404	6.4083	
196	531.62	1.0051	5.6275	
197	535.62	0.93649	5.2273	
198	538.66	0.89079	4.9582	
199	545.25	0.80667	4.4565	
200	549.7	0.75901	4.1674	
201	552.68	0.73037	3.9915	
202	554.68	0.71255	3.881	
203	556.01	0.70121	3.8103	
204	556.9	0.6939	3.7645	
205	557.49	0.68913	3.7346	
206	557.88	0.68602	3.715	
207	558.14	0.68396	3.7021	
208	558.31	0.68261	3.6936	
209	558.42	0.68172	3.6879	
210	558.64	0.67997	3.6769	
211	558.87	0.67824	3.666	
212	558.98	0.67736	3.6604	
213	559.15	0.67604	3.652	
214	559.41	0.67405	3.6395	
215	559.8	0.67107	3.6206	
216	560.4	0.66664	3.5925	
217	561.29	0.66008	3.5507	
218	562.64	0.65046	3.4891	
219	564.67	0.63654	3.3994	
220	567.74	0.61681	3.271	
221	572.37	0.58966	3.0911	
222	579.37	0.55379	2.8466	
223	589.92	0.50896	2.5265	
224	597.37	0.48266	2.3284	
225	600.	0.47426	2.2629	
