cnt	Frequency_[Hz]	Amplitude_[mm]	Phase_Angle_[°]	
191	515.03	0.35494	1.6595	
192	516.26	0.3525	1.6356	
193	518.13	0.34893	1.5998	
194	520.95	0.34377	1.5462	
195	525.2	0.3365	1.4663	
196	531.62	0.32662	1.347	
197	535.62	0.32105	1.2729	
198	538.66	0.31713	1.2168	
199	545.25	0.30945	1.0948	
200	549.7	0.30485	1.0116	
201	552.68	0.30203	0.95519	
202	554.68	0.30025	0.91716	
203	556.01	0.29911	0.89165	
204	556.9	0.29838	0.87462	
205	557.49	0.2979	0.86326	
206	557.88	0.29759	0.85571	
207	558.14	0.29738	0.8507	
208	558.31	0.29725	0.84737	
209	558.42	0.29716	0.84516	
210	558.64	0.29698	0.84083	
211	558.87	0.29681	0.83648	
212	558.98	0.29672	0.83427	
213	559.15	0.29659	0.83092	
214	559.41	0.29639	0.82587	
215	559.8	0.29609	0.81822	
216	560.4	0.29565	0.80666	
217	561.29	0.29499	0.78914	
218	562.64	0.29403	0.76254	
219	564.67	0.29266	0.72201	
220	567.74	0.29075	0.6599	
221	572.37	0.28822	0.56374	
222	579.37	0.28524	0.41203	
223	589.92	0.28261	0.1638	
224	597.37	0.28216	-2.9391e-002	
225	600.	0.28229	-0.10192	
