	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
167	482.36	3.2076e-009	178.7	
168	483.52	3.2251e-009	178.7	
169	485.26	3.2516e-009	178.7	
170	487.9	3.2919e-009	178.7	
171	491.88	3.353e-009	178.7	
172	496.34	3.4222e-009	178.7	
173	500.31	3.4843e-009	178.71	
174	504.39	3.5488e-009	178.71	
175	507.13	3.5925e-009	178.71	
176	508.97	3.6219e-009	178.71	
177	510.19	3.6415e-009	178.71	
178	511.	3.6546e-009	178.71	
179	511.54	3.6633e-009	178.71	
180	511.9	3.6691e-009	178.71	
181	512.14	3.6729e-009	178.71	
182	512.29	3.6755e-009	178.71	
183	512.4	3.6771e-009	178.71	
184	512.6	3.6805e-009	178.71	
185	512.81	3.6838e-009	178.71	
186	512.91	3.6855e-009	178.71	
187	513.07	3.688e-009	178.71	
188	513.31	3.6919e-009	178.71	
189	513.67	3.6977e-009	178.71	
190	514.21	3.7065e-009	178.71	
191	515.03	3.7198e-009	178.71	
192	516.26	3.74e-009	178.71	
193	518.13	3.7705e-009	178.71	
194	520.95	3.8169e-009	178.71	
195	525.2	3.8874e-009	178.71	
196	531.62	3.9953e-009	178.71	
197	535.62	4.0635e-009	178.71	
198	538.66	4.1156e-009	178.71	
199	545.25	4.2298e-009	178.71	
200	549.7	4.308e-009	178.71	
201	552.68	4.361e-009	178.72	
202	554.68	4.3967e-009	178.72	
203	556.01	4.4208e-009	178.73	
204	556.9	4.437e-009	178.73	
205	557.49	4.4478e-009	178.73	
206	557.88	4.455e-009	178.73	
207	558.14	4.4598e-009	178.73	
208	558.31	4.463e-009	178.73	
209	558.42	4.4651e-009	178.73	
210	558.64	4.4692e-009	178.73	
211	558.87	4.4734e-009	178.73	
212	558.98	4.4755e-009	178.73	
213	559.15	4.4787e-009	178.73	
214	559.41	4.4835e-009	178.73	
215	559.8	4.4908e-009	178.73	
216	560.4	4.5017e-009	178.73	
217	561.29	4.5182e-009	178.73	
218	562.64	4.543e-009	178.72	
219	564.67	4.5804e-009	178.72	
220	567.74	4.6369e-009	178.71	
221	572.37	4.723e-009	178.7	
222	579.37	4.855e-009	178.7	
223	589.92	5.0589e-009	178.69	
224	597.37	5.2063e-009	178.69	
225	600.	5.259e-009	178.68	
